BK009122611,BK009122611
BK009122630,BK009122630
BK009122641,BK009122641
BK009122686,BK009122686
BK009122769,BK009122769
BK009122774,BK009122774
BK009122778,BK009122778
BK009122779,BK009122779
BK009122780,BK009122780
BK009122782,BK009122782
BK009122783,BK009122783
BK009122785,BK009122785
BK009122787,BK009122787
BK009122792,BK009122792
BK009122796,BK009122796
BK009122806,BK009122806
BK009122822,BK009122822
BK009122825,BK009122825
BK009122859,BK009122859
BK009122867,BK009122867
BK009122871,BK009122871
BK009122911,BK009122911
BK009122942,BK009122942
BK009122944,BK009122944
BK009122948,BK009122948
BK009122991,BK009122991
BK009123006,BK009123006
BK009123024,BK009123024
BK009123029,BK009123029
BK009123654,BK009123654
BK009123655,BK009123655
BK009123656,BK009123656
BK009123657,BK009123657
BK009123679,BK009123679
BK009123772,BK009123772
BK009123797,BK009123797
BK009123816,BK009123816
BK009123920,BK009123920
BK009123967,BK009123967
BK009123976,BK009123976
BK009123991,BK009123991
BK009124009,BK009124009
BK009124055,BK009124055
BK009124176,BK009124176
BK009124177,BK009124177
BK009124288,BK009124288
BK009124291,BK009124291
BK009124382,BK009124382
BK009124383,BK009124383
BK009124526,BK009124526
BK009124555,BK009124555
BK009124654,BK009124654
BK009124713,BK009124713
BK009124716,BK009124716
BK009124722,BK009124722
BK009124726,BK009124726
BK009124759,BK009124759
BK009124788,BK009124788
BK009124791,BK009124791
BK009124803,BK009124803
BK009125053,BK009125053
BK009125059,BK009125059
BK009125074,BK009125074
BK009125076,BK009125076
BK009125138,BK009125138
BK009125141,BK009125141
BK009125222,BK009125222
BK009125232,BK009125232
BK009125297,BK009125297
BK009125369,BK009125369
BK009125428,BK009125428
BK009125432,BK009125432
BK009125436,BK009125436
BK009125461,BK009125461
BK009125553,BK009125553
BK009125693,BK009125693
BK009125739,BK009125739
BK009125965,BK009125965
BK009126055,BK009126055
BK009126056,BK009126056
BK009126128,BK009126128
BK009126181,BK009126181
BK009126183,BK009126183
BK009126192,BK009126192
BK009126207,BK009126207
BK009126217,BK009126217
BK009126227,BK009126227
BK009126231,BK009126231
BK009126324,BK009126324
BK009126329,BK009126329
BK009126351,BK009126351
BK009126407,BK009126407
BK009126414,BK009126414
BK009126426,BK009126426
BK009126455,BK009126455
BK009126485,BK009126485
BK009126531,BK009126531
BK009126586,BK009126586
BK009126598,BK009126598
BK009126635,BK009126635
BK009126640,BK009126640
BK009126783,BK009126783
BK009126787,BK009126787
BK009126807,BK009126807
BK009126831,BK009126831
BK009126841,BK009126841
BK009126894,BK009126894
BK009126905,BK009126905
BK009126973,BK009126973
BK009126975,BK009126975
BK009127067,BK009127067
BK009127107,BK009127107
BK009127127,BK009127127
BK009127131,BK009127131
BK009127227,BK009127227
BK009127274,BK009127274
BK009127278,BK009127278
BK009127279,BK009127279
BK009127381,BK009127381
BK009127387,BK009127387
BK009127443,BK009127443
BK009127446,BK009127446
BK009127449,BK009127449
BK009127480,BK009127480
BK009127511,BK009127511
BK009127515,BK009127515
BK009127603,BK009127603
BK009127612,BK009127612
BK009127624,BK009127624
BK009127637,BK009127637
BK009127716,BK009127716
BK009127747,BK009127747
BK009127748,BK009127748
BK009127754,BK009127754
BK009127760,BK009127760
BK009127783,BK009127783
BK009127841,BK009127841
BK009127863,BK009127863
BK009127886,BK009127886
BK009127900,BK009127900
BK009127914,BK009127914
BK009127925,BK009127925
BK009127975,BK009127975
BK009127989,BK009127989
BK009127991,BK009127991
BK009128049,BK009128049
BK009128178,BK009128178
BK009128253,BK009128253
BK009128331,BK009128331
BK009128352,BK009128352
BK009128357,BK009128357
BK009128360,BK009128360
BK009128370,BK009128370
BK009128372,BK009128372
BK009128380,BK009128380
BK009128390,BK009128390
BK009128392,BK009128392
BK009128407,BK009128407
BK009128424,BK009128424
BK009128461,BK009128461
BK009128473,BK009128473
BK009128494,BK009128494
BK009128549,BK009128549
BK009128553,BK009128553
BK009128561,BK009128561
BK009128579,BK009128579
BK009128610,BK009128610
BK009128651,BK009128651
BK009128697,BK009128697
BK009128757,BK009128757
BK009128789,BK009128789
BK009128797,BK009128797
BK009128817,BK009128817
BK009128859,BK009128859
BK009128864,BK009128864
BK009128905,BK009128905
BK009128961,BK009128961
BK009128972,BK009128972
BK009128977,BK009128977
BK009129024,BK009129024
BK009129027,BK009129027
BK009129075,BK009129075
BK009129081,BK009129081
BK009129129,BK009129129
BK009129146,BK009129146
BK009129148,BK009129148
BK009129165,BK009129165
BK009129177,BK009129177
BK009129183,BK009129183
BK009129215,BK009129215
BK009129217,BK009129217
BK009129232,BK009129232
BK009129259,BK009129259
BK009129285,BK009129285
BK009129296,BK009129296
BK009129315,BK009129315
BK009129360,BK009129360
BK009129363,BK009129363
BK009129381,BK009129381
BK009129385,BK009129385
BK009129442,BK009129442
BK009129443,BK009129443
BK009129444,BK009129444
BK009129449,BK009129449
BK009129480,BK009129480
BK009129481,BK009129481
BK009129482,BK009129482
BK009129497,BK009129497
BK009129555,BK009129555
BK009129580,BK009129580
BK009129616,BK009129616
BK009129640,BK009129640
BK009129712,BK009129712
BK009129715,BK009129715
BK009129755,BK009129755
BK009129759,BK009129759
BK009129831,BK009129831
BK009129897,BK009129897
BK009129961,BK009129961
BK009129964,BK009129964
BK009129967,BK009129967
BK009129969,BK009129969
BK009129970,BK009129970
BK009129971,BK009129971
BK009129992,BK009129992
BK009130048,BK009130048
BK009130061,BK009130061
BK009130063,BK009130063
BK009130084,BK009130084
BK009130118,BK009130118
BK009130121,BK009130121
BK009130192,BK009130192
BK009130224,BK009130224
BK009130225,BK009130225
BK009130244,BK009130244
BK009130248,BK009130248
BK009130251,BK009130251
BK009130293,BK009130293
BK009130330,BK009130330
BK009130341,BK009130341
BK009130378,BK009130378
BK009130425,BK009130425
BK009130477,BK009130477
BK009130500,BK009130500
BK009130508,BK009130508
BK009130533,BK009130533
BK009130534,BK009130534
BK009130762,BK009130762
BK009130766,BK009130766
BK009130767,BK009130767
BK009130769,BK009130769
BK009130770,BK009130770
BK009130859,BK009130859
BK009130880,BK009130880
BK009130906,BK009130906
BK009130960,BK009130960
BK009130998,BK009130998
BK009131027,BK009131027
BK009131090,BK009131090
BK009131093,BK009131093
BK009131098,BK009131098
BK009131101,BK009131101
BK009131105,BK009131105
BK009131155,BK009131155
BK009131249,BK009131249
BK009131290,BK009131290
BK009131297,BK009131297
BK009131337,BK009131337
BK009131356,BK009131356
BK009131368,BK009131368
BK009131420,BK009131420
BK009131441,BK009131441
BK009131504,BK009131504
BK009131588,BK009131588
BK009131755,BK009131755
BK009131853,BK009131853
BK009131875,BK009131875
BK009131896,BK009131896
BK009131915,BK009131915
BK009131928,BK009131928
BK009131979,BK009131979
BK009132003,BK009132003
BK009132004,BK009132004
BK009132042,BK009132042
BK009132080,BK009132080
BK009132115,BK009132115
BK009132150,BK009132150
BK009132174,BK009132174
BK009132214,BK009132214
BK009132226,BK009132226
BK009150003,BK009150003
BK009150007,BK009150007
BK009150045,BK009150045
BK009150054,BK009150054
BK009150065,BK009150065
BK009150080,BK009150080
BK009150083,BK009150083
BK009150117,BK009150117
BK009150124,BK009150124
BK009150127,BK009150127
BK009150236,BK009150236
BK009150268,BK009150268
BK009150272,BK009150272
BK009150283,BK009150283
BK009150285,BK009150285
BK009150292,BK009150292
BK009150302,BK009150302
BK009150325,BK009150325
BK009150475,BK009150475
BK009150511,BK009150511
BK009150634,BK009150634
BK009150664,BK009150664
BK009150666,BK009150666
BK009150671,BK009150671
BK009150730,BK009150730
BK009150757,BK009150757
BK009150777,BK009150777
BK009150779,BK009150779
BK009150790,BK009150790
BK009150797,BK009150797
BK009150805,BK009150805
BK009150806,BK009150806
BK009150812,BK009150812
BK009150815,BK009150815
BK009150861,BK009150861
BK009150912,BK009150912
BK009150917,BK009150917
BK009150932,BK009150932
BK009150988,BK009150988
BK009150990,BK009150990
BK009151002,BK009151002
BK009151003,BK009151003
BK009151005,BK009151005
BK009151006,BK009151006
BK009151076,BK009151076
BK009151113,BK009151113
BK009151162,BK009151162
BK009151173,BK009151173
BK009151183,BK009151183
BK009151220,BK009151220
BK009151226,BK009151226
BK009151231,BK009151231
BK009151232,BK009151232
BK009151242,BK009151242
BK009151282,BK009151282
BK009151306,BK009151306
BK009151370,BK009151370
BK009151373,BK009151373
BK009151408,BK009151408
BK009151439,BK009151439
BK009151502,BK009151502
BK009151503,BK009151503
BK009151506,BK009151506
BK009151507,BK009151507
BK009151551,BK009151551
BK009151599,BK009151599
BK009151600,BK009151600
BK009151650,BK009151650
BK009151651,BK009151651
BK009151729,BK009151729
BK009151730,BK009151730
BK009151731,BK009151731
BK009151787,BK009151787
BK009151793,BK009151793
BK009151795,BK009151795
BK009151937,BK009151937
BK009151974,BK009151974
BK009151975,BK009151975
BK009151977,BK009151977
BK009152006,BK009152006
BK009152076,BK009152076
BK009152243,BK009152243
BK009152337,BK009152337
BK009152350,BK009152350
BK009152354,BK009152354
BK009152493,BK009152493
BK009152516,BK009152516
BK009152556,BK009152556
BK009152568,BK009152568
BK009152571,BK009152571
BK009152573,BK009152573
BK009152608,BK009152608
BK009152622,BK009152622
BK009152650,BK009152650
BK009152683,BK009152683
BK009152727,BK009152727
BK009152756,BK009152756
BK009152763,BK009152763
BK009152798,BK009152798
BK009152799,BK009152799
BK009152899,BK009152899
BK009152917,BK009152917
BK009152927,BK009152927
BK009152975,BK009152975
BK009152988,BK009152988
BK009152989,BK009152989
BK009153073,BK009153073
BK009153095,BK009153095
BK009153117,BK009153117
BK009153120,BK009153120
